Function,f_bias,Dimension,Algorithm,Run,Fitness,Time(s)
F3,600.0,10,AO,1,6.000000000043157e+02,0.2166
F3,600.0,10,AO,2,6.000000000020697e+02,0.2107
F3,600.0,10,AO,3,6.000000000060172e+02,0.2123
F3,600.0,10,DBO,1,6.000869205730615e+02,0.1899
F3,600.0,10,DBO,2,6.000182523370289e+02,0.1890
F3,600.0,10,DBO,3,6.000308711377356e+02,0.1906
F4,800.0,10,WSOA,1,8.180000229709668e+02,0.4837
F4,800.0,10,WSOA,2,8.260000259032993e+02,0.5101
F4,800.0,10,WSOA,3,8.160000122516306e+02,0.5760
F4,800.0,10,PSO,1,9.265886063787916e+02,0.2311
F4,800.0,10,PSO,2,8.511201106139888e+02,0.2347
F4,800.0,10,PSO,3,8.469285261610132e+02,0.2316
F4,800.0,10,DE,1,8.754492275163057e+02,0.4642
F4,800.0,10,DE,2,8.640000000000000e+02,0.4778
F4,800.0,10,DE,3,8.623905341298487e+02,0.4668
F4,800.0,10,GA,1,8.700000000000002e+02,0.3758
F4,800.0,10,GA,2,8.900000000001151e+02,0.3873
F4,800.0,10,GA,3,9.320000000000031e+02,0.3818
F4,800.0,10,ABC,1,8.597126872584531e+02,0.4608
F4,800.0,10,ABC,2,8.744692102190580e+02,0.4631
F4,800.0,10,ABC,3,8.648227296885744e+02,0.4628
F4,800.0,10,GWO,1,8.620054513678164e+02,0.3972
F4,800.0,10,GWO,2,8.391948958340786e+02,0.3998
F4,800.0,10,GWO,3,8.360000031974304e+02,0.3972
F4,800.0,10,WOA,1,8.300000059000889e+02,0.3710
F4,800.0,10,WOA,2,8.520089514307879e+02,0.3760
F4,800.0,10,WOA,3,8.283814404762936e+02,0.3713
F4,800.0,10,SCA,1,9.047428009757840e+02,0.3237
F4,800.0,10,SCA,2,8.880000000000000e+02,0.3286
F4,800.0,10,SCA,3,8.285286740664510e+02,0.3265
F4,800.0,10,HHO,1,8.700000000000000e+02,0.5980
F4,800.0,10,HHO,2,8.580000000000005e+02,0.5926
F4,800.0,10,HHO,3,8.580000000000000e+02,0.6089
F4,800.0,10,MPA,1,8.460000000000356e+02,0.3433
F4,800.0,10,MPA,2,8.980000000646687e+02,0.3439
F4,800.0,10,MPA,3,8.740000000180847e+02,0.3475
F4,800.0,10,AO,1,8.660000000002443e+02,0.3181
F4,800.0,10,AO,2,8.840000000000000e+02,0.3212
F4,800.0,10,AO,3,8.440000000000940e+02,0.3449
F4,800.0,10,DBO,1,9.220000000000000e+02,0.2972
F4,800.0,10,DBO,2,8.794841546145238e+02,0.3195
F4,800.0,10,DBO,3,8.460000018705992e+02,0.3011
F5,900.0,10,WSOA,1,9.000000002538651e+02,0.2578
F5,900.0,10,WSOA,2,9.000895422851690e+02,0.3828
F5,900.0,10,WSOA,3,9.001790587870375e+02,0.2584
F5,900.0,10,PSO,1,9.034048677905517e+02,0.1162
F5,900.0,10,PSO,2,9.006688661346748e+02,0.1164
F5,900.0,10,PSO,3,9.001210705681116e+02,0.1164
F5,900.0,10,DE,1,9.000074220161374e+02,0.2793
F5,900.0,10,DE,2,9.000040880668256e+02,0.2695
F5,900.0,10,DE,3,9.000040858684898e+02,0.2677
F5,900.0,10,GA,1,9.028080477492241e+02,0.2590
F5,900.0,10,GA,2,9.026443127997479e+02,0.2592
F5,900.0,10,GA,3,9.014026814470445e+02,0.2607
F5,900.0,10,ABC,1,9.007572097796555e+02,0.2669
F5,900.0,10,ABC,2,9.019464857339342e+02,0.2691
F5,900.0,10,ABC,3,9.023865367830534e+02,0.2724
F5,900.0,10,GWO,1,9.000134044938034e+02,0.2582
F5,900.0,10,GWO,2,9.000048374661710e+02,0.2595
F5,900.0,10,GWO,3,9.000285225325154e+02,0.2695
F5,900.0,10,WOA,1,9.000015011173494e+02,0.2026
F5,900.0,10,WOA,2,9.022729140149681e+02,0.2071
F5,900.0,10,WOA,3,9.005453394403639e+02,0.2111
F5,900.0,10,SCA,1,9.004409899339695e+02,0.1863
F5,900.0,10,SCA,2,9.019384159459350e+02,0.1879
F5,900.0,10,SCA,3,9.008504159798835e+02,0.1876
F5,900.0,10,HHO,1,9.006352800795182e+02,0.3111
F5,900.0,10,HHO,2,9.005457051411732e+02,0.3031
F5,900.0,10,HHO,3,9.004554036075965e+02,0.3125
F5,900.0,10,MPA,1,9.005439658022240e+02,0.1904
F5,900.0,10,MPA,2,9.000898093054253e+02,0.1918
F5,900.0,10,MPA,3,9.000008326893554e+02,0.1924
F5,900.0,10,AO,1,9.015420646487501e+02,0.1731
F5,900.0,10,AO,2,9.021821277515400e+02,0.1750
F5,900.0,10,AO,3,9.010877077828202e+02,0.1734
F5,900.0,10,DBO,1,9.071287348371465e+02,0.1610
F5,900.0,10,DBO,2,9.021722893719782e+02,0.1617
F5,900.0,10,DBO,3,9.009042622288936e+02,0.1617
F6,1800.0,10,WSOA,1,5.966999473715274e+03,0.3476
F6,1800.0,10,WSOA,2,5.734626445114734e+03,0.3289
F6,1800.0,10,WSOA,3,1.896224997971817e+04,0.3215
F6,1800.0,10,PSO,1,5.270364223166794e+04,0.1381
F6,1800.0,10,PSO,2,7.736525456446756e+04,0.1377
F6,1800.0,10,PSO,3,6.838393524759772e+04,0.1383
F6,1800.0,10,DE,1,2.314453340391336e+03,0.3090
F6,1800.0,10,DE,2,2.983492545238549e+03,0.3080
F6,1800.0,10,DE,3,2.253812562818073e+03,0.3081
F6,1800.0,10,GA,1,1.494239012038838e+04,0.2875
F6,1800.0,10,GA,2,1.251537950235022e+04,0.2827
F6,1800.0,10,GA,3,2.290311287804795e+04,0.2831
F6,1800.0,10,ABC,1,1.081428218234493e+04,0.3049
F6,1800.0,10,ABC,2,1.300176688988920e+04,0.2957
F6,1800.0,10,ABC,3,1.812410586113197e+04,0.2997
F6,1800.0,10,GWO,1,5.039964357219233e+04,0.2833
F6,1800.0,10,GWO,2,3.240166440450290e+04,0.2830
F6,1800.0,10,GWO,3,8.094246226773002e+04,0.2827
F6,1800.0,10,WOA,1,6.370475970544145e+04,0.2274
F6,1800.0,10,WOA,2,4.998207799890036e+04,0.2302
F6,1800.0,10,WOA,3,4.254484388382629e+04,0.2251
F6,1800.0,10,SCA,1,4.669915938653392e+06,0.2109
F6,1800.0,10,SCA,2,6.052240419358157e+06,0.2117
F6,1800.0,10,SCA,3,1.755921358348997e+07,0.2108
F6,1800.0,10,HHO,1,2.434915849984732e+04,0.3556
F6,1800.0,10,HHO,2,1.275368079078979e+04,0.3502
F6,1800.0,10,HHO,3,5.688521177085098e+04,0.3569
F6,1800.0,10,MPA,1,2.841347604204310e+04,0.2155
F6,1800.0,10,MPA,2,2.359879356141093e+04,0.2145
F6,1800.0,10,MPA,3,6.042392895004486e+04,0.2153
