Function,Iteration,WSOA,PSO,DE,GA,ABC,GWO,WOA,SCA,HHO,MPA,AO,DBO
F1,19,4.378682131825780e+02,9.904234090388367e+03,6.784874766463994e+03,1.120872187913178e+04,1.405547073774503e+04,6.679876357617831e+02,3.830343991575867e+03,1.265869563622298e+04,5.890356330101529e+03,2.985856839395945e+03,2.042697631087967e+04,9.330456629540116e+03
F1,20,4.068515760593501e+02,9.904234090388367e+03,6.784874766463994e+03,9.460509271510344e+03,1.380619577866887e+04,6.679876357617831e+02,3.830343991575867e+03,1.265869563622298e+04,5.890356330101529e+03,2.985856839395945e+03,2.042697631087967e+04,8.925911524965717e+03
F1,21,3.588840349944672e+02,9.904234090388367e+03,6.784874766463994e+03,8.769879810464916e+03,1.380619577866887e+04,6.679876357617831e+02,3.607745673446998e+03,1.265869563622298e+04,5.890356330101529e+03,2.985856839395945e+03,2.042697631087967e+04,8.925911524965717e+03
F1,22,3.557578169965169e+02,9.904234090388367e+03,6.784874766463994e+03,8.769879810464916e+03,1.380619577866887e+04,6.679876357617831e+02,3.607745673446998e+03,1.262950428888808e+04,5.890356330101529e+03,2.985856839395945e+03,2.042697631087967e+04,8.925911524965717e+03
F1,23,3.535258438628483e+02,9.904234090388367e+03,6.784874766463994e+03,8.769879810464916e+03,1.217561309681104e+04,6.679876357617831e+02,3.560982010263380e+03,9.594805165697819e+03,5.890356330101529e+03,2.985856839395945e+03,2.042697631087967e+04,8.438345609069991e+03
F1,24,3.313703490996216e+02,9.904234090388367e+03,6.784874766463994e+03,8.470338259288172e+03,1.186539231472176e+04,6.679876357617831e+02,2.673517217942569e+03,9.594805165697819e+03,5.702460451901452e+03,2.827600004102540e+03,2.042697631087967e+04,8.137504076171433e+03
F1,25,3.245242771048832e+02,9.904234090388367e+03,6.643981983356867e+03,7.996413861059263e+03,1.186539231472176e+04,6.679876357617831e+02,2.673517217942569e+03,7.874008229474812e+03,5.702460451901452e+03,2.516455253912284e+03,2.042697631087967e+04,8.137504076171433e+03
F1,26,3.237794247765852e+02,9.904234090388367e+03,5.507248169386282e+03,7.862918711696499e+03,1.186539231472176e+04,6.679876357617831e+02,2.673517217942569e+03,7.874008229474812e+03,5.702460451901452e+03,2.516455253912284e+03,2.042697631087967e+04,7.177823531470945e+03
F1,27,3.229702607152695e+02,9.904234090388367e+03,5.507248169386282e+03,7.830170048395904e+03,1.186539231472176e+04,6.679876357617831e+02,2.673517217942569e+03,7.874008229474812e+03,5.697716732149376e+03,2.516455253912284e+03,2.042697631087967e+04,7.021156051604936e+03
F1,28,3.215872723977795e+02,9.522376551897525e+03,3.010210028879012e+03,6.614131553863092e+03,1.186539231472176e+04,6.550987919659831e+02,2.673517217942569e+03,7.874008229474812e+03,5.486319383904955e+03,2.516455253912284e+03,2.042697631087967e+04,6.419689433139693e+03
F1,29,3.139547413355325e+02,9.522376551897525e+03,3.010210028879012e+03,6.614131553863092e+03,1.186539231472176e+04,6.155715781743802e+02,2.636805374709776e+03,7.874008229474812e+03,5.450785460091960e+03,2.516455253912284e+03,2.042697631087967e+04,6.419689433139693e+03
F1,30,3.139547413355325e+02,9.522376551897525e+03,3.010210028879012e+03,6.076448186019273e+03,1.186539231472176e+04,6.155715781743802e+02,2.636805374709776e+03,7.874008229474812e+03,4.582231274107047e+03,2.516455253912284e+03,2.042697631087967e+04,6.419689433139693e+03
F1,31,3.123432119162253e+02,9.522376551897525e+03,3.010210028879012e+03,5.977639387528259e+03,1.182188957859000e+04,6.155715781743802e+02,2.418004378846661e+03,7.874008229474812e+03,4.582231274107047e+03,2.516455253912284e+03,2.042697631087967e+04,6.419689433139693e+03
F1,32,3.113118799406632e+02,9.315968035071659e+03,3.010210028879012e+03,5.061463738824226e+03,1.182139116356379e+04,6.155715781743802e+02,2.190689860774301e+03,7.874008229474812e+03,4.582231274107047e+03,2.516455253912284e+03,2.042697631087967e+04,6.419689433139693e+03
F1,33,3.113118799406632e+02,9.315968035071659e+03,3.010210028879012e+03,5.048693993290752e+03,1.071882673217140e+04,6.155715781743802e+02,2.190689860774301e+03,7.874008229474812e+03,4.582231274107047e+03,2.516455253912284e+03,2.042697631087967e+04,6.328954140845783e+03
F1,34,3.103454053362937e+02,9.315968035071659e+03,3.010210028879012e+03,5.048693993290752e+03,1.071882673217140e+04,6.155715781743802e+02,2.189144144588327e+03,7.242445128439821e+03,4.582231274107047e+03,2.516455253912284e+03,2.042697631087967e+04,6.328954140845783e+03
F1,35,3.103454053362937e+02,9.315968035071659e+03,3.010210028879012e+03,4.168620493625128e+03,1.063040899261846e+04,6.017815234406668e+02,2.189144144588327e+03,7.242445128439821e+03,3.879688852162361e+03,1.478727878764334e+03,1.008470045289123e+04,6.328954140845783e+03
F1,36,3.103454053362937e+02,9.315968035071659e+03,1.638498583117968e+03,4.168620493625128e+03,1.063040899261846e+04,6.017815234406668e+02,2.189144144588327e+03,7.242445128439821e+03,2.590944361250863e+03,1.136168569992815e+03,7.900550795581099e+03,6.328954140845783e+03
F1,37,3.089669663055998e+02,9.315968035071659e+03,1.638498583117968e+03,4.115512754977015e+03,1.063040899261846e+04,6.017815234406668e+02,2.189144144588327e+03,7.242445128439821e+03,2.319466238621449e+03,1.136168569992815e+03,4.245847295490861e+03,6.174592527894220e+03
F1,38,3.063888913903077e+02,9.315968035071659e+03,1.638498583117968e+03,4.046888764854988e+03,1.063040899261846e+04,5.504981594514693e+02,2.189144144588327e+03,7.242445128439821e+03,1.403017435628459e+03,1.111703692069180e+03,4.157684867265712e+03,6.174592527894220e+03
F1,39,3.044379914857089e+02,9.315968035071659e+03,1.638498583117968e+03,3.486703247644118e+03,1.063040899261846e+04,5.504981594514693e+02,2.189144144588327e+03,7.242445128439821e+03,1.403017435628459e+03,1.070300248908577e+03,3.766203678005935e+03,4.541923403875458e+03
F1,40,3.044379914857089e+02,9.315968035071659e+03,1.638498583117968e+03,3.272623645378506e+03,1.004954792598098e+04,5.504981594514693e+02,2.189144144588327e+03,7.242445128439821e+03,1.353205225112609e+03,1.070300248908577e+03,3.499913544997201e+03,4.541923403875458e+03
F1,41,3.029872958646409e+02,9.315968035071659e+03,1.638498583117968e+03,3.272623645378506e+03,1.003620146075489e+04,5.504981594514693e+02,1.757792529389426e+03,7.242445128439821e+03,1.238868343295125e+03,1.070300248908577e+03,2.925058144179687e+03,4.541923403875458e+03
F1,42,3.025082447020839e+02,7.429933749584154e+03,1.638498583117968e+03,3.106438828205317e+03,1.003620146075489e+04,5.495852738899409e+02,1.535304380769353e+03,7.242445128439821e+03,1.233592635681145e+03,1.070300248908577e+03,2.791736760045304e+03,4.541923403875458e+03
F1,43,3.017543364564576e+02,4.592601685445306e+03,1.638498583117968e+03,2.654058212500952e+03,1.003620146075489e+04,5.134953954147691e+02,1.070325027490102e+03,6.411160802029918e+03,1.231017877646238e+03,9.059412159192397e+02,2.472482136149431e+03,4.541923403875458e+03
F1,44,3.017543364564576e+02,4.592601685445306e+03,1.638498583117968e+03,2.634868784882068e+03,1.003620146075489e+04,5.134953954147691e+02,1.070325027490102e+03,6.411160802029918e+03,1.231017877646238e+03,9.059412159192397e+02,2.279637224616060e+03,4.541923403875458e+03
F1,45,3.017031215786521e+02,4.592601685445306e+03,1.638498583117968e+03,1.942723733883218e+03,8.756815970780786e+03,5.134953954147691e+02,1.070325027490102e+03,6.411160802029918e+03,1.231017877646238e+03,8.966975025093876e+02,1.667345106007864e+03,4.541923403875458e+03
F1,46,3.013843411590057e+02,4.592601685445306e+03,1.638498583117968e+03,1.887537990129000e+03,8.007046067629151e+03,5.123283100719400e+02,1.000728302005003e+03,6.411160802029918e+03,8.800207759948115e+02,8.751563777332912e+02,7.226799809771242e+02,4.541923403875458e+03
F1,47,3.012689695653232e+02,3.685260323698094e+03,1.638498583117968e+03,1.887537990129000e+03,8.007046067629151e+03,5.123283100719400e+02,9.474144542810083e+02,4.719087537142758e+03,8.800207759948115e+02,8.751563777332912e+02,6.257537725552324e+02,4.372448891299342e+03
F1,48,3.008672932654208e+02,2.658370629777801e+03,1.638498583117968e+03,1.836088403294348e+03,8.007046067629151e+03,5.123283100719400e+02,9.474144542810083e+02,4.719087537142758e+03,8.800207759948115e+02,8.751563777332912e+02,5.366947696559616e+02,4.372448891299342e+03
F1,49,3.005579034175257e+02,1.921423817212706e+03,1.638498583117968e+03,1.463888625032790e+03,7.921627848743305e+03,5.123283100719400e+02,9.474144542810083e+02,4.374684493242783e+03,8.800207759948115e+02,8.751563777332912e+02,3.885402848616760e+02,3.058621757172183e+03
F1,50,3.003734253184467e+02,1.921423817212706e+03,1.064206482222934e+03,1.463888625032790e+03,7.792978068418459e+03,5.123283100719400e+02,9.474144542810083e+02,3.344772639179709e+03,8.771627306613665e+02,8.751563777332912e+02,3.332637926208347e+02,3.058621757172183e+03
F1,51,3.003052105425271e+02,1.921423817212706e+03,1.064206482222934e+03,1.463888625032790e+03,7.792978068418459e+03,5.123283100719400e+02,7.547243508619626e+02,3.344772639179709e+03,8.481477940806067e+02,8.751563777332912e+02,3.137316352986156e+02,3.058621757172183e+03
F1,52,3.002405305415697e+02,1.921423817212706e+03,1.064206482222934e+03,1.335395242114937e+03,7.792978068418459e+03,5.123283100719400e+02,5.799295414924268e+02,3.344772639179709e+03,8.481477940806067e+02,8.751563777332912e+02,3.029341360576660e+02,3.058621757172183e+03
F1,53,3.002405305415697e+02,1.921423817212706e+03,1.064206482222934e+03,1.335395242114937e+03,7.789328618418775e+03,5.123283100719400e+02,5.799295414924268e+02,3.344772639179709e+03,8.272339984483629e+02,8.751563777332912e+02,3.004028493061023e+02,3.058621757172183e+03
F1,54,3.002330866963766e+02,1.921423817212706e+03,1.064206482222934e+03,1.335395242114937e+03,7.655578676322611e+03,5.123283100719400e+02,5.799295414924268e+02,3.344772639179709e+03,7.571505025628031e+02,8.751563777332912e+02,3.000239600448156e+02,3.058621757172183e+03
F1,55,3.001957226717537e+02,1.921423817212706e+03,7.944605891397603e+02,1.335395242114937e+03,7.655578676322611e+03,5.123283100719400e+02,5.799295414924268e+02,3.344772639179709e+03,7.361352635997589e+02,8.751563777332912e+02,3.000229230307964e+02,3.058621757172183e+03
F1,56,3.001523124940914e+02,1.921423817212706e+03,7.944605891397603e+02,1.254665567531027e+03,7.655578676322611e+03,4.999598031338869e+02,5.799295414924268e+02,3.344772639179709e+03,7.188035654206619e+02,8.751563777332912e+02,3.000088045777281e+02,3.058621757172183e+03
F1,57,3.001080134853709e+02,1.921423817212706e+03,7.944605891397603e+02,1.251057812105728e+03,6.790625513685198e+03,4.999598031338869e+02,5.799295414924268e+02,3.344772639179709e+03,6.744848900195718e+02,8.751563777332912e+02,3.000077063685928e+02,3.058621757172183e+03
F1,58,3.000722399951300e+02,1.921423817212706e+03,7.944605891397603e+02,1.236134439436312e+03,6.620482516973710e+03,4.999598031338869e+02,5.799295414924268e+02,2.857026191559077e+03,6.693742876299571e+02,7.913609520692555e+02,3.000064383258957e+02,3.058621757172183e+03
F1,59,3.000701751019059e+02,1.921423817212706e+03,7.944605891397603e+02,1.186471651146069e+03,6.327837251864355e+03,4.872262237037713e+02,5.799295414924268e+02,2.857026191559077e+03,6.693742876299571e+02,7.913609520692555e+02,3.000043976134581e+02,3.058621757172183e+03
F1,60,3.000701751019059e+02,1.921423817212706e+03,6.690702905467517e+02,1.139000349102334e+03,6.327837251864355e+03,4.872262237037713e+02,5.799295414924268e+02,2.857026191559077e+03,6.693742876299571e+02,7.913609520692555e+02,3.000040744422364e+02,3.024689859236166e+03
F1,61,3.000613833177350e+02,1.921423817212706e+03,6.690702905467517e+02,1.090380049062379e+03,5.715661991909393e+03,4.872262237037713e+02,5.799295414924268e+02,2.857026191559077e+03,5.884401697729948e+02,7.913609520692555e+02,3.000011484762596e+02,3.024689859236166e+03
F1,62,3.000594052644570e+02,1.921423817212706e+03,6.690702905467517e+02,1.073390104452993e+03,5.715594758821449e+03,4.872262237037713e+02,5.799295414924268e+02,2.857026191559077e+03,5.354782192168403e+02,7.913609520692555e+02,3.000010209455955e+02,2.938767180716031e+03
F1,63,3.000590687255373e+02,1.921423817212706e+03,6.690702905467517e+02,1.050912212396347e+03,5.372798525604479e+03,4.801874379604253e+02,5.799295414924268e+02,2.857026191559077e+03,4.894734767050315e+02,7.913609520692555e+02,3.000009911085285e+02,2.938767180716031e+03
F1,64,3.000590079897162e+02,1.921423817212706e+03,6.690702905467517e+02,9.435840655678963e+02,3.978745386733736e+03,4.801874379604253e+02,5.799295414924268e+02,2.857026191559077e+03,4.626076512955998e+02,7.913609520692555e+02,3.000006547756863e+02,2.938767180716031e+03
F1,65,3.000586172548841e+02,1.921423817212706e+03,4.281795569727902e+02,9.435840655678963e+02,3.227168286563102e+03,4.801874379604253e+02,5.460315388702679e+02,2.857026191559077e+03,4.566730609620773e+02,7.913609520692555e+02,3.000005206187230e+02,2.901278276618114e+03
F1,66,3.000586014865671e+02,1.830627242500064e+03,4.281795569727902e+02,9.283662074984155e+02,3.175571313173315e+03,4.584782754750512e+02,5.155803393327813e+02,2.004332581283307e+03,3.907801370267361e+02,7.913609520692555e+02,3.000005206187230e+02,2.901278276618114e+03
F1,67,3.000570800408512e+02,1.656514596223586e+03,4.281795569727902e+02,8.514388741332867e+02,3.168972550676433e+03,4.584782754750512e+02,4.258568762489572e+02,2.004332581283307e+03,3.907801370267361e+02,7.913609520692555e+02,3.000004572828497e+02,2.901278276618114e+03
F1,68,3.000512950043695e+02,1.656514596223586e+03,4.281795569727902e+02,8.509334882940165e+02,2.263916210147086e+03,4.584782754750512e+02,4.258568762489572e+02,2.004332581283307e+03,3.873974143427845e+02,6.339249404003231e+02,3.000004572828497e+02,2.901278276618114e+03
F1,69,3.000504892361494e+02,1.656514596223586e+03,4.281795569727902e+02,8.210942928479469e+02,2.229237585218769e+03,4.584782754750512e+02,4.258568762489572e+02,2.004332581283307e+03,3.873974143427845e+02,5.077449650109306e+02,3.000004572828497e+02,2.892196329405038e+03
F1,70,3.000275684407063e+02,1.522878818638864e+03,4.264328201050088e+02,8.044490441070939e+02,2.229237585218769e+03,4.584782754750512e+02,4.258568762489572e+02,2.004332581283307e+03,3.873974143427845e+02,4.445946470277888e+02,3.000004572828497e+02,2.892196329405038e+03
F1,71,3.000246110842158e+02,1.394822517350452e+03,4.264328201050088e+02,8.044490441070939e+02,2.206352446220149e+03,4.584782754750512e+02,4.258568762489572e+02,2.004332581283307e+03,3.873974143427845e+02,4.261186950655929e+02,3.000004572828497e+02,2.845432451866950e+03
F1,72,3.000169619195327e+02,1.394822517350452e+03,3.978362937968759e+02,8.041583041340828e+02,2.206266594094775e+03,4.584782754750512e+02,4.132337496516186e+02,2.004332581283307e+03,3.865772296715334e+02,4.203824049253848e+02,3.000004572828497e+02,2.755440497442288e+03
F1,73,3.000098656821568e+02,1.340254450697424e+03,3.978362937968759e+02,7.390308136882056e+02,2.206266594094775e+03,4.584782754750512e+02,4.132337496516186e+02,1.810641095178830e+03,3.865772296715334e+02,3.942900676512619e+02,3.000004572828497e+02,2.755440497442288e+03
F1,74,3.000095553763381e+02,1.196064911816803e+03,3.978362937968759e+02,6.808745914455932e+02,2.206266594094775e+03,4.584782754750512e+02,4.093842104476173e+02,1.810641095178830e+03,3.865772296715334e+02,3.865327432636410e+02,3.000004572828497e+02,2.755440497442288e+03
F1,75,3.000067104613487e+02,1.196064911816803e+03,3.978362937968759e+02,6.804089670418725e+02,2.206237027336796e+03,4.584782754750512e+02,3.866951735766272e+02,1.810641095178830e+03,3.683344426631310e+02,3.842634677646365e+02,3.000004572828497e+02,2.755440497442288e+03
F1,76,3.000064726171848e+02,1.196064911816803e+03,3.901185162088009e+02,6.781758551695405e+02,2.097545267775697e+03,4.584782754750512e+02,3.767534276990129e+02,1.810641095178830e+03,3.616854895240274e+02,3.512813709710317e+02,3.000004572828497e+02,2.755440497442288e+03
F1,77,3.000061786091929e+02,1.196064911816803e+03,3.901185162088009e+02,6.640840709267339e+02,2.097545267775697e+03,4.584782754750512e+02,3.701161715549903e+02,1.810641095178830e+03,3.615676913656188e+02,3.108131096501522e+02,3.000004572828497e+02,2.608247582893907e+03
F1,78,3.000048743123814e+02,9.146860719070866e+02,3.901185162088009e+02,6.640840709267339e+02,2.057781274106595e+03,4.584782754750512e+02,3.690417468590978e+02,1.810641095178830e+03,3.346101427804166e+02,3.075416265061446e+02,3.000004572828497e+02,2.608247582893907e+03
F1,79,3.000039342198187e+02,9.146860719070866e+02,3.439636753178131e+02,6.516423262590902e+02,1.708999140327235e+03,4.584782754750512e+02,3.690417468590978e+02,1.810641095178830e+03,3.312929576794445e+02,3.075416265061446e+02,3.000004572828497e+02,2.608247582893907e+03
F1,80,3.000035810587249e+02,9.146860719070866e+02,3.319230474180761e+02,5.382965744262389e+02,1.527286191002930e+03,4.584782754750512e+02,3.421135591955796e+02,1.810641095178830e+03,3.298344153925197e+02,3.055895572964130e+02,3.000004572828497e+02,2.608247582893907e+03
F1,81,3.000035810587249e+02,9.146860719070866e+02,3.315185834675783e+02,5.382965744262389e+02,1.516420269274632e+03,4.584782754750512e+02,3.213399959457189e+02,1.810641095178830e+03,3.156526293918544e+02,3.044709743854704e+02,3.000004572828497e+02,2.608247582893907e+03
F1,82,3.000034392359690e+02,7.499604489030496e+02,3.315185834675783e+02,5.382965744262389e+02,1.375623680502717e+03,4.584782754750512e+02,3.213399959457189e+02,1.810641095178830e+03,3.156526293918544e+02,3.038325311568739e+02,3.000004572828497e+02,2.608247582893907e+03
F1,83,3.000034035388306e+02,7.499604489030496e+02,3.315185834675783e+02,5.382965744262389e+02,1.196110932947886e+03,4.584782754750512e+02,3.213399959457189e+02,1.810641095178830e+03,3.114551079900876e+02,3.019189895245760e+02,3.000004572828497e+02,2.608247582893907e+03
F1,84,3.000034035388306e+02,7.499604489030496e+02,3.315185834675783e+02,5.376207373681864e+02,1.196053940989344e+03,4.584782754750512e+02,3.186191818304305e+02,1.810641095178830e+03,3.113692576504901e+02,3.017291535981047e+02,3.000004572828497e+02,2.608247582893907e+03
F1,85,3.000034035388306e+02,7.499604489030496e+02,3.315185834675783e+02,4.693586071989873e+02,1.133831556823163e+03,4.584782754750512e+02,3.130691196219893e+02,1.810641095178830e+03,3.113288014282388e+02,3.016734160061672e+02,3.000004572828497e+02,2.608247582893907e+03
F1,86,3.000033994122121e+02,7.499604489030496e+02,3.315185834675783e+02,4.672883145837898e+02,1.131470222263135e+03,4.584782754750512e+02,3.124601515846662e+02,1.810641095178830e+03,3.112812788834776e+02,3.014278719128692e+02,3.000004572828497e+02,2.608247582893907e+03
F1,87,3.000033682735877e+02,6.922156269791678e+02,3.166640742711953e+02,4.672883145837898e+02,1.130175897356141e+03,4.584782754750512e+02,3.119413806813627e+02,1.810641095178830e+03,3.100343933742973e+02,3.011064727229968e+02,3.000004572828497e+02,2.608247582893907e+03
F1,88,3.000029358115689e+02,6.922156269791678e+02,3.166640742711953e+02,4.645782847705244e+02,1.130175897356141e+03,4.539327485188861e+02,3.109642906553403e+02,1.810641095178830e+03,3.074256315496062e+02,3.006877923591501e+02,3.000004572828497e+02,2.608247582893907e+03
F1,89,3.000027478599482e+02,6.447659475875689e+02,3.166640742711953e+02,4.605581437565268e+02,1.127666024484777e+03,4.539327485188861e+02,3.083575000962185e+02,1.810641095178830e+03,3.073904116239227e+02,3.005677179461517e+02,3.000004572828497e+02,2.608247582893907e+03
F1,90,3.000027325419699e+02,6.260172547666660e+02,3.166640742711953e+02,4.604759327922712e+02,1.101363112565619e+03,4.531503376182577e+02,3.063222018530714e+02,1.810641095178830e+03,3.073739695962028e+02,3.005513910314165e+02,3.000004572828497e+02,2.608247582893907e+03
F1,91,3.000025568569428e+02,6.260172547666660e+02,3.166640742711953e+02,4.528249360068886e+02,1.079597878628123e+03,4.514118745028498e+02,3.060756947562639e+02,1.810641095178830e+03,3.068413372282925e+02,3.004243034349244e+02,3.000004572828497e+02,2.608247582893907e+03
F1,92,3.000025568569428e+02,5.370221210339712e+02,3.061859790611468e+02,4.528249360068886e+02,1.063097503369063e+03,4.514118745028498e+02,3.060756947562639e+02,1.810641095178830e+03,3.046372157378525e+02,3.003784821460883e+02,3.000004572828497e+02,2.608247582893907e+03
F1,93,3.000024672418149e+02,5.321129844766398e+02,3.061859790611468e+02,4.521416012912869e+02,1.043937979399715e+03,4.514118745028498e+02,3.038315200358136e+02,1.810641095178830e+03,3.046372157378525e+02,3.003254967040882e+02,3.000004572828497e+02,2.608247582893907e+03
F1,94,3.000024323990618e+02,5.003009763594180e+02,3.061859790611468e+02,4.476979920582647e+02,1.043641474806990e+03,4.507498301906680e+02,3.038215594244516e+02,1.810641095178830e+03,3.046372157378525e+02,3.002856286750233e+02,3.000004572828497e+02,2.608247582893907e+03
F1,95,3.000023034709895e+02,5.003009763594180e+02,3.061859790611468e+02,3.747248392912489e+02,1.021549518816564e+03,4.507498301906680e+02,3.026411059530445e+02,1.810641095178830e+03,3.040179370434099e+02,3.001727471962104e+02,3.000004572828497e+02,2.608247582893907e+03
F1,96,3.000023034709895e+02,4.489766407187553e+02,3.061859790611468e+02,3.665495188358169e+02,8.995166506893577e+02,4.507498301906680e+02,3.026411059530445e+02,1.810641095178830e+03,3.029812767838602e+02,3.001474554946086e+02,3.000004572828497e+02,2.608247582893907e+03
F1,97,3.000022361362366e+02,4.298376438124966e+02,3.061859790611468e+02,3.665495188358169e+02,8.265139817818496e+02,4.507498301906680e+02,3.025000247820218e+02,1.810641095178830e+03,3.029812767838602e+02,3.001231743584257e+02,3.000004572828497e+02,2.608247582893907e+03
F1,98,3.000021156455788e+02,4.298376438124966e+02,3.061859790611468e+02,3.615804744343702e+02,8.265139817818496e+02,4.504868161978046e+02,3.022280602744669e+02,1.810641095178830e+03,3.025885013384486e+02,3.001166864846110e+02,3.000004572828497e+02,2.608247582893907e+03
F1,99,3.000021156455788e+02,4.169352630764459e+02,3.061859790611468e+02,3.604167724684866e+02,8.051465804848712e+02,4.501151884532255e+02,3.014401818029119e+02,1.810641095178830e+03,3.025438644365580e+02,3.001058884313620e+02,3.000004572828497e+02,2.608247582893907e+03
F1,100,,3.890684454590193e+02,3.061859790611468e+02,3.600848162047134e+02,8.051465804848712e+02,4.499770775839423e+02,3.009241091471828e+02,1.810641095178830e+03,3.022001522328675e+02,3.001010652062541e+02,3.000004572828497e+02,2.605772206772146e+03

Function,Iteration,WSOA,PSO,DE,GA,ABC,GWO,WOA,SCA,HHO,MPA,AO,DBO
